OBJECTID,JURSCODE,GEOID20,POPULATION_TOTAL,CHILD_POPULATION_TOTAL,CHILD_POV_TOTAL,CHILD_POV_PCT,SCHOOL_BND_INT_TOTAL,SCHOOL_BND_INT_CPG_TOTAL,NOTES,CALC_SUM,CALC_PCT,Shape__Area,Shape__Length
55,ANNE,24003701101,4259,940,9.0,1.0,5,0,(+/-) 1.6,,,7327905.436074873,22311.719118907302
56,ANNE,24003731002,3440,822,0.0,0.0,5,0,(+/-) 5,,,7868275.285205659,16618.65385741011
57,ANNE,24003730901,2900,827,13.0,1.6,4,0,(+/-) 2,,,9124525.21641212,25709.773804781064
58,ANNE,24003706403,4333,936,212.0,22.6,9,5,(+/-) 25.4,,,1384051.2589919881,5120.901719269318
59,ANNE,24003750300,2400,408,13.0,3.2,6,1,(+/-) 6.1,,,3051538.8953424585,7929.869714948978
60,ANNE,24003740203,5754,1311,0.0,0.0,5,0,(+/-) 3.3,,,9295871.528247263,15044.45464222831
61,ANNE,24003702601,5638,1062,55.0,5.2,4,2,(+/-) 9.6,,,6497688.647550949,23164.834741851126
62,ANNE,24003751400,4300,673,24.0,3.5,12,0,(+/-) 5.7,,,10849763.711353542,16029.630891792476
63,ANNE,24003708004,6778,1712,144.0,8.4,5,0,(+/-) 10.3,,,69801901.98220542,46206.967130598976
64,ANNE,24003740305,11074,2690,266.0,9.9,11,0,(+/-) 10.9,,,3431968.6179860346,8588.796036147289
65,ANNE,24003702100,6572,1181,0.0,0.0,7,0,(+/-) 3.5,,,22549827.44353907,39267.439337492906
66,ANNE,24003707002,4494,983,64.0,6.5,4,0,(+/-) 8.6,,,10997223.497815594,37608.20759887388
67,ANNE,24003751102,4307,607,21.0,3.5,10,3,(+/-) 5.9,,,8462002.34071413,17937.56553043855
68,ANNE,24003730606,4615,1248,0.0,0.0,4,0,(+/-) 3.3,,,4104013.11678923,12738.359991001522
69,ANNE,24003706303,2762,443,0.0,0.0,5,3,(+/-) 9.1,,,971904.2399421369,6523.348825286219
70,ANNE,24003731003,4685,1126,0.0,0.0,5,0,(+/-) 3.8,,,3376654.0543653094,9840.34031671903
71,ANNE,24003730507,4416,880,17.0,1.9,7,0,(+/-) 3.6,,,3108604.021316466,7483.553766342508
72,ANNE,24003706404,2662,670,14.0,2.1,5,3,(+/-) 3.6,,,829248.6965686062,3928.465693598979
73,ANNE,24003740400,4273,0,0.0,,3,0,(+/-) **,,,1830350.5309319373,7743.813663051679
74,ANNE,24003750801,6199,1981,52.0,2.6,10,1,(+/-) 4,,,5053834.993635062,10454.88974857394
75,ANNE,24003730401,5557,1175,262.0,22.3,10,0,(+/-) 16.4,,,2205080.894581587,7634.082000302546
76,ANNE,24003731106,4363,1207,35.0,2.9,6,0,(+/-) 3.6,,,2693294.8546556085,8496.182651365718
77,ANNE,24003740107,4251,911,129.0,14.2,6,0,(+/-) 21.7,,,3031628.575469802,7395.622414094327
78,ANNE,24003701301,4229,1072,120.0,11.2,4,0,(+/-) 14,,,38491720.24623893,35032.3563544202
79,ANNE,24003730404,1991,580,140.0,24.1,8,0,(+/-) 20.6,,,1851155.021602031,6359.392712924648
80,ANNE,24003731105,3161,771,0.0,0.0,6,0,(+/-) 5.4,,,2726325.363454055,13760.628829688687
81,ANNE,24003751000,3838,534,30.0,5.6,4,0,(+/-) 6.8,,,3214798.6021505645,8029.374568116062
82,ANNE,24003731307,5553,1221,12.0,1.0,9,0,(+/-) 1.8,,,6272327.413169687,13583.050788693614
83,ANNE,24003750201,3634,846,180.0,21.3,6,2,(+/-) 24.6,,,3424253.1729197726,8273.526512818291
84,ANNE,24003740703,6385,2050,0.0,0.0,5,0,(+/-) 2,,,2372933.066762026,7371.154465840521
85,ANNE,24003750803,6742,1638,238.0,14.5,10,2,(+/-) 14.6,,,2271765.953720005,8489.831424902224
86,ANNE,24003702204,4796,1607,0.0,0.0,7,0,(+/-) 2.6,,,2527395.0579697457,8858.534236427655
87,ANNE,24003730509,5218,1260,0.0,0.0,5,0,(+/-) 3.3,,,2849879.1069010696,9874.424609669511
88,ANNE,24003730800,2449,553,6.0,1.1,7,0,(+/-) 1.5,,,7405862.6855399925,22737.517612579206
89,ANNE,24003730508,2459,518,52.0,10.1,8,0,(+/-) 15.6,,,832690.5588071679,5199.0421504612505
90,ANNE,24003730205,2268,317,59.0,18.6,7,0,(+/-) 27.4,,,804687.684513221,4443.998408413356
91,ANNE,24003740303,5444,1447,0.0,0.0,10,0,(+/-) 2.9,,,4598334.363069131,10799.601556722444
92,ANNE,24003730101,2283,406,0.0,0.0,6,0,(+/-) 10.3,,,4460504.860768696,14664.639200005606
93,ANNE,24003731208,4321,1043,0.0,0.0,6,0,(+/-) 4.2,,,4933177.568627819,10950.352316492672
94,ANNE,24003740601,6309,2165,15.0,0.7,7,0,(+/-) 1.2,,,5286302.390009351,11007.355809098362
95,ANNE,24003701400,3603,633,8.0,1.3,8,0,(+/-) 1.9,,,55204479.79233001,69094.8002706527
96,ANNE,24003730206,3339,645,104.0,16.1,4,0,(+/-) 21.5,,,1448331.355391382,7986.9689314116395
97,ANNE,24003706103,1689,132,0.0,0.0,3,1,(+/-) 28.1,,,481181.45253555494,5044.9217643339725
98,ANNE,24003730601,6977,1926,62.0,3.2,12,0,(+/-) 3.8,,,8248959.07829033,15179.101370652106
99,ANNE,24003706304,2190,163,6.0,3.7,4,2,(+/-) 25.6,,,1248149.336587104,8488.560461935816
100,ANNE,24003706500,5543,1348,43.0,3.2,8,4,(+/-) 5.6,,,2882449.629200544,10715.097235444246
101,ANNE,24003730510,3270,839,18.0,2.1,5,0,(+/-) 3.8,,,1636026.9809849781,5803.437819006969
102,ANNE,24003706102,2701,526,85.0,16.1,4,1,(+/-) 23.2,,,719985.4512971365,5700.199398593093
103,ANNE,24003706700,1708,210,0.0,0.0,4,1,(+/-) 18.9,,,1394848.477963732,9506.101153740245
104,ANNE,24003750102,2649,486,0.0,0.0,7,3,(+/-) 8.4,,,791987.471825886,4595.014845471537
105,ANNE,24003740502,4933,899,0.0,0.0,5,1,(+/-) 4.6,,,6134389.279751872,12748.011632871938
106,ANNE,24003731313,3845,711,0.0,0.0,9,0,(+/-) 5.8,,,2071309.7667427505,7400.5228882384
107,ANNE,24003740900,8287,2466,254.0,10.3,6,0,(+/-) 9.7,,,5365067.111607816,9909.937696402316
108,ANNE,24003706302,3689,394,0.0,0.0,4,3,(+/-) 10.2,,,1438589.1630401271,8735.230406033674
109,ANNE,24003730605,3040,664,122.0,18.4,8,0,(+/-) 14.8,,,3137457.759029909,7457.613044317018
110,ANNE,24003701103,3475,750,0.0,0.0,4,0,(+/-) 5.5,,,1683459.4750865432,9036.706366794457
111,ANNE,24003980000,3,0,0.0,,12,0,(+/-) **,,,12349947.749990942,15550.541987619254
112,ANNE,24003740704,7125,1437,98.0,6.8,10,0,(+/-) 8.2,,,25862983.69141145,27592.588141349457
113,ANNE,24003702209,3995,1156,12.0,1.0,5,0,(+/-) 1.4,,,2176468.448594493,5792.614077088885
114,ANNE,24003702300,5927,1524,0.0,0.0,7,0,(+/-) 2.7,,,40688415.72401966,34388.02443204666
115,ANNE,24003701201,3852,732,0.0,0.0,3,0,(+/-) 5.6,,,6580961.632745611,23301.960909427813
116,ANNE,24003751700,2815,679,0.0,0.0,12,0,(+/-) 6.1,,,27733718.760693338,28431.404059088323
117,ANNE,24003740800,4790,983,0.0,0.0,11,0,(+/-) 4.3,,,20257187.367068198,20164.352765259773
118,ANNE,24003731303,6144,1143,0.0,0.0,4,0,(+/-) 3.6,,,18588382.00500803,52472.42902644571
119,ANNE,24003730204,8154,1638,85.0,5.2,7,0,(+/-) 5.7,,,4782306.672969706,10162.4912974006
120,ANNE,24003740104,8564,1884,234.0,12.4,10,1,(+/-) 13.6,,,4209360.800230969,9797.825341589692
121,ANNE,24003702702,3740,593,46.0,7.8,7,0,(+/-) 9.2,,,13401467.701180823,31111.543381388725
122,ANNE,24003740701,6821,1804,0.0,0.0,10,0,(+/-) 2.4,,,2801939.967648346,10032.829090791209
123,ANNE,24003731103,5240,1134,0.0,0.0,7,0,(+/-) 3.7,,,8561359.219174003,15753.413727635549
124,ANNE,24003702500,7192,2387,162.0,6.8,11,3,(+/-) 9.4,,,7344220.955974144,25979.438990211253
125,ANNE,24003730701,2494,508,43.0,8.5,5,0,(+/-) 12.9,,,3208813.516812456,10160.531186855462
126,ANNE,24003730512,2175,603,37.0,6.1,5,0,(+/-) 6.2,,,852906.8540787409,4905.184420734461
127,ANNE,24003730300,3674,891,58.0,6.5,10,0,(+/-) 9.5,,,2053151.650817728,7620.6193192946885
128,ANNE,24003730403,4309,1030,267.0,25.9,7,0,(+/-) 25.9,,,1267653.189729319,4544.429002070121
129,ANNE,24003731206,3811,1119,0.0,0.0,4,0,(+/-) 3.8,,,8915984.782787647,29728.062374366884
130,ANNE,24003740205,3201,912,171.0,18.8,10,0,(+/-) 18.6,,,2016185.12683824,7963.111205716866
131,ANNE,24003702704,2715,158,0.0,0.0,4,0,(+/-) 23.3,,,1831121.8140860868,5764.7552975881545
132,ANNE,24003730102,11804,2863,249.0,8.7,6,0,(+/-) 12.6,,,19545586.081958108,37541.73148868723
133,ANNE,24003750204,4708,1028,0.0,0.0,10,3,(+/-) 4.1,,,5517816.091334379,12784.691452532821
134,ANNE,24003740106,3222,715,72.0,10.1,8,1,(+/-) 13.8,,,11971635.956199007,24638.51263825859
135,ANNE,24003731308,4087,682,29.0,4.3,4,0,(+/-) 4.9,,,1661887.83103726,7146.708471227567
136,ANNE,24003731312,4468,1034,37.0,3.6,8,0,(+/-) 3.8,,,1727705.7971744142,6709.253207531288
137,ANNE,24003750400,4139,1054,43.0,4.1,10,2,(+/-) 6.4,,,3216215.822358207,9138.21194147498
138,ANNE,24003740603,2724,501,79.0,15.7,13,0,(+/-) 10.4,,,47792847.96254069,39807.218005503004
139,ANNE,24003702208,8536,2337,0.0,0.0,7,0,(+/-) 1.8,,,4206899.85813976,8151.907091674751
140,ANNE,24003740304,7432,1350,0.0,0.0,11,0,(+/-) 3.1,,,6460567.093832969,12612.648054203095
141,ANNE,24003701302,3985,880,66.0,7.5,7,0,(+/-) 13.2,,,62595714.493342154,35777.55248640561
142,ANNE,24003702206,6892,1962,80.0,4.1,6,0,(+/-) 6.8,,,3573658.040691705,9161.313817278195
143,ANNE,24003750101,4808,1321,58.0,4.4,5,3,(+/-) 6.3,,,1408484.0437257653,5203.919826243732
144,ANNE,24003740108,6096,1233,0.0,0.0,8,0,(+/-) 3.4,,,4358116.214668035,9508.764825172419
145,ANNE,24003730902,3989,977,21.0,2.1,6,0,(+/-) 2.6,,,15561206.812773505,51657.19388498366
146,ANNE,24003730702,4283,1323,0.0,0.0,5,0,(+/-) 3.2,,,3790201.119072168,14531.979509696923
147,ANNE,24003751200,5076,964,0.0,0.0,12,0,(+/-) 4.3,,,25771581.024355993,30811.114749432254
148,ANNE,24003750804,4135,709,0.0,0.0,10,1,(+/-) 5.8,,,3156218.39797309,10387.79697026588
149,ANNE,24003740103,9425,1869,0.0,0.0,9,0,(+/-) 2.2,,,6104216.8816666575,12708.785340032828
150,ANNE,24003751103,5576,1111,83.0,7.5,3,0,(+/-) 10.3,,,3013902.5448722495,9972.614201097893
151,ANNE,24003740501,5851,1199,189.0,15.8,4,1,(+/-) 18.2,,,3594914.4587552245,15184.622576134941
152,BACO,24005400400,5371,1070,107.0,10.0,7,0,(+/-) 13.2,,,8973323.2749287,15855.46217505033
153,BACO,24005407001,3198,878,98.0,11.2,6,0,(+/-) 10,,,50120023.017143205,37451.448250231566
154,BACO,24005402302,6005,1499,163.0,10.9,11,0,(+/-) 7.5,,,2901364.139039967,7965.358210173567
155,BACO,24005408800,2311,425,0.0,0.0,7,0,(+/-) 9.5,,,2937628.647083683,7496.836917939912
156,BACO,24005411202,4115,1101,0.0,0.0,11,0,(+/-) 3.8,,,34636418.882352106,28778.06429461591
157,BACO,24005441000,4001,1255,289.0,23.0,4,0,(+/-) 26.1,,,1387375.183070499,5582.296274345161
158,BACO,24005411303,6106,1039,49.0,4.7,6,0,(+/-) 5,,,3173014.625763022,8574.78152622439
159,BACO,24005408602,1893,418,5.0,1.2,6,0,(+/-) 2.1,,,1719932.597933098,5666.011637763883
160,BACO,24005420600,4420,1258,499.0,39.7,6,0,(+/-) 25.4,,,1557948.6532904075,5415.663051589523
161,BACO,24005450501,4078,667,98.0,14.7,9,1,(+/-) 17,,,2415190.8447744474,7969.3331138699605
162,BACO,24005451200,3998,666,0.0,0.0,12,0,(+/-) 7,,,5038590.053265236,14266.495124018518
163,BACO,24005403300,2613,548,0.0,0.0,11,0,(+/-) 7.5,,,1725605.547032976,7177.882613390732
164,BACO,24005402511,5625,1368,0.0,0.0,7,0,(+/-) 3.2,,,1633711.1604531072,5974.48420760865
165,BACO,24005404101,6682,1411,87.0,6.2,11,0,(+/-) 8.7,,,12848505.286760125,21326.79114598711
166,BACO,24005403202,2382,545,165.0,30.3,6,0,(+/-) 24.9,,,1165658.9129663631,4980.792959981855
167,BACO,24005490304,4271,411,65.0,15.8,7,0,(+/-) 25.1,,,821789.5021844348,4201.008548330408
168,BACO,24005400702,2196,703,155.0,22.0,8,0,(+/-) 23.1,,,701960.6400345032,3594.7029991456884
169,BACO,24005491100,3740,987,0.0,0.0,4,0,(+/-) 4.3,,,1098888.0201174454,5344.342969481617
170,BACO,24005492700,2667,453,211.0,46.6,8,0,(+/-) 38.3,,,14805634.650785388,41232.43494756547
171,BACO,24005420303,1160,210,55.0,26.2,7,0,(+/-) 33.8,,,856164.6201260971,5739.732956749275
172,BACO,24005492300,3229,720,34.0,4.7,5,0,(+/-) 7.4,,,1213518.7856551264,7304.547288235332
173,BACO,24005408503,4001,777,46.0,5.9,6,0,(+/-) 11.2,,,2055992.4928807954,8065.8369415076095
174,BACO,24005420401,7443,2298,979.0,42.6,4,0,(+/-) 21.2,,,951793.2529585462,5388.100235761186
175,BACO,24005411409,4914,1063,79.0,7.4,7,0,(+/-) 6.7,,,2747464.999192372,8461.160181279996
176,BACO,24005402407,1039,113,0.0,0.0,9,0,(+/-) 31,,,6488363.348800537,15560.389202192922
177,BACO,24005450900,4501,1058,58.0,5.5,4,0,(+/-) 5.3,,,5222478.138732829,26627.14408724143
178,BACO,24005430600,2361,375,0.0,0.0,9,0,(+/-) 10.7,,,4679462.424806181,11087.634477477384
179,BACO,24005411201,3128,650,23.0,3.5,8,0,(+/-) 4.8,,,36911517.78303775,30269.186129554106
180,BACO,24005452400,3579,783,110.0,14.1,13,0,(+/-) 8.8,,,12420179.533001695,32077.04887946693
181,BACO,24005411309,8538,1780,0.0,0.0,6,0,(+/-) 2.4,,,9053206.135876803,15598.774027197065
182,BACO,24005490602,3012,787,147.0,18.7,5,0,(+/-) 24.3,,,786194.8995204029,4538.741826184722
183,BACO,24005490603,2449,595,31.0,5.2,4,0,(+/-) 6.2,,,1068207.0606565739,6237.874753694912
184,BACO,24005490303,2617,227,45.0,20.0,7,0,(+/-) 17.4,,,1201146.130681795,5704.807730131138
185,BACO,24005401302,2892,339,70.0,20.6,3,0,(+/-) 26.3,,,596168.253088645,3569.384136044548
186,BACO,24005411406,4436,886,109.0,12.3,8,0,(+/-) 17.3,,,5919156.667602988,12040.583081673994
187,BACO,24005451803,4841,1183,185.0,15.6,6,0,(+/-) 13.6,,,3671419.9797567776,15678.903986780148
188,BACO,24005451600,1813,182,0.0,0.0,8,1,(+/-) 23.3,,,5426827.976719621,16500.722933400477
189,BACO,24005404102,5838,1221,65.0,5.3,12,0,(+/-) 9.7,,,4713359.67454201,10887.153374865602
190,BACO,24005408601,4241,941,50.0,5.3,6,0,(+/-) 7.8,,,2473688.93188901,6291.825885215483
191,BACO,24005411408,3838,994,254.0,25.6,9,0,(+/-) 15.4,,,1558949.593051421,6332.873142498983
192,BACO,24005408507,6437,1215,535.0,44.0,7,0,(+/-) 25.8,,,1772813.5183113818,6511.379997564989
193,BACO,24005400800,3167,838,51.0,6.1,9,0,(+/-) 8.1,,,1472829.5184281901,5554.87015587516
194,BACO,24005401400,1656,432,0.0,0.0,4,0,(+/-) 9.4,,,2871436.766698268,11052.295359881731
195,BACO,24005490302,3406,348,111.0,31.8,7,0,(+/-) 27.8,,,2671794.1530352444,7107.9873041980245
196,BACO,24005408506,5001,1031,118.0,11.4,7,0,(+/-) 15.5,,,1883680.4474604793,9488.935296282414
197,BACO,24005403201,3433,675,0.0,0.0,7,0,(+/-) 6.1,,,1764543.1600399362,6453.17368172956
198,BACO,24005401503,6331,1279,197.0,15.4,7,0,(+/-) 18.2,,,6563684.771765163,11580.265588418586
199,BACO,24005450200,3298,501,196.0,39.1,5,0,(+/-) 41.6,,,2038144.8702334485,8262.706986205878
200,BACO,24005408200,1870,304,13.0,4.3,11,0,(+/-) 6.7,,,43517486.24054835,28642.997308250826
201,BACO,24005405000,4537,865,21.0,2.4,8,0,(+/-) 4.1,,,124212093.20215929,56927.89751099773
202,BACO,24005401200,3538,761,37.0,4.8,7,0,(+/-) 5.7,,,1955149.6354023938,7439.807801838817
203,BACO,24005441101,2206,431,25.0,5.8,6,0,(+/-) 6.4,,,1530292.1865091543,6923.991653800076
204,BACO,24005404800,2155,373,0.0,0.0,5,0,(+/-) 10.9,,,23608181.762843147,25344.76836992167
205,BACO,24005440600,2466,483,0.0,0.0,8,0,(+/-) 8.4,,,6144612.445121068,12205.2164826351
206,BACO,24005408900,2656,581,0.0,0.0,6,0,(+/-) 7,,,8802774.720145578,13951.000070754299
207,BACO,24005451402,4991,1479,450.0,30.4,10,1,(+/-) 28.7,,,2798219.7342808195,10678.344992256214
208,BACO,24005402305,2703,680,141.0,20.7,11,0,(+/-) 16.9,,,1610277.4814674638,10999.24000991218
209,BACO,24005440900,4091,893,5.0,0.6,6,0,(+/-) 0.8,,,1926191.2307476809,5804.173478925886
210,BACO,24005490800,3332,742,111.0,15.0,5,0,(+/-) 15.1,,,1456068.5599578682,4996.678455343755
211,BACO,24005408304,4680,790,0.0,0.0,12,0,(+/-) 5.2,,,16670673.63140163,19492.478464450847
212,BACO,24005490605,5197,38,,,6,0,(+/-) **,,,2187978.4292865237,6857.577365565694
213,BACO,24005492402,6793,1538,192.0,12.5,5,0,(+/-) 14.4,,,3182110.5010183966,10481.4287336487
214,BACO,24005440200,2607,664,39.0,5.9,5,0,(+/-) 8.1,,,1878466.2320667787,6798.71309654841
215,BACO,24005490200,3201,789,78.0,9.9,5,0,(+/-) 6.3,,,2240865.7008779803,6971.225894094484
216,BACO,24005420702,2491,638,299.0,46.9,3,0,(+/-) 24.2,,,642903.7000715212,3639.1668233736514
217,BACO,24005401506,4734,1205,339.0,28.1,7,0,(+/-) 20,,,3573266.2326528933,10066.642218604258
218,BACO,24005401000,2314,474,0.0,0.0,6,0,(+/-) 8.6,,,1355541.8452890057,5542.479109869835
219,BACO,24005403802,3029,945,0.0,0.0,7,0,(+/-) 4.4,,,9682417.403279264,13735.751040464675
220,BACO,24005440500,3409,821,18.0,2.2,9,0,(+/-) 3.8,,,2979319.438970156,8816.368945048749
221,BACO,24005420402,2073,620,56.0,9.1,5,0,(+/-) 8.7,,,633720.5421318903,7781.818036883068
222,BACO,24005492102,2106,374,0.0,0.0,6,0,(+/-) 13,,,944345.0051160841,5480.152521740617
223,BACO,24005402505,2943,475,109.0,23.0,6,0,(+/-) 21.7,,,1254666.0979226541,4629.63288682793
224,BACO,24005440400,5692,1089,26.0,2.4,7,0,(+/-) 3,,,2675423.463193271,7689.893657650857
225,BACO,24005404501,6553,1625,496.0,30.5,7,0,(+/-) 23.7,,,3100796.2846071897,7679.973183709824
226,BACO,24005491201,2110,364,61.0,16.8,10,0,(+/-) 15.3,,,1697825.7334741557,5996.327757717579
227,BACO,24005402506,4837,675,36.0,5.4,9,0,(+/-) 8,,,2292327.1268622717,6001.16841692533
228,BACO,24005490100,4037,982,0.0,0.0,9,0,(+/-) 4.2,,,15582992.71294675,17367.010337087322
229,BACO,24005402504,4973,1131,105.0,9.3,8,0,(+/-) 8.2,,,7972605.10706021,13153.476127078404
230,BACO,24005451100,2284,529,44.0,8.4,6,2,(+/-) 7,,,2656321.130231658,12549.896366381545
231,BACO,24005401101,6228,1586,333.0,21.0,5,0,(+/-) 24.8,,,2929549.8038180335,7533.6006941323685
232,BACO,24005421000,1908,413,135.0,32.7,5,0,(+/-) 27.8,,,395845.47156806657,3839.2794295340395
233,BACO,24005430400,4567,1215,101.0,8.3,7,0,(+/-) 9.7,,,7202164.388309133,11317.517289883686
234,BACO,24005430700,5121,1135,112.0,9.9,5,0,(+/-) 14,,,2206958.1121130805,6349.470465773123
235,BACO,24005440300,2009,346,7.0,2.0,8,0,(+/-) 3.8,,,1231993.4955146222,6665.825940368045
236,BACO,24005400200,2703,529,73.0,13.8,4,0,(+/-) 14.6,,,922626.5727091711,4979.5748559535095
237,BACO,24005402409,4782,1553,70.0,4.5,5,0,(+/-) 7.2,,,576306.2905758163,3169.415689223252
238,BACO,24005430800,4084,823,16.0,1.9,6,0,(+/-) 3,,,1362626.4772677212,6116.03927986083
239,BACO,24005403402,4899,891,127.0,14.3,8,0,(+/-) 15.2,,,3621459.373305857,10263.439240364694
240,BACO,24005491401,4966,1260,74.0,5.9,8,0,(+/-) 6.4,,,1204575.3515557994,4577.40131823189
