OBJECTID,JURSCODE,GEOID20,POPULATION_TOTAL,CHILD_POPULATION_TOTAL,CHILD_POV_TOTAL,CHILD_POV_PCT,SCHOOL_BND_INT_TOTAL,SCHOOL_BND_INT_CPG_TOTAL,NOTES,CALC_SUM,CALC_PCT,Shape__Area,Shape__Length
678,HOWA,24027605104,6001,1671,12.0,0.7,13.0,,(+/-) 1,,,41556493.92766786,33961.78566343154
679,HOWA,24027602900,4567,997,18.0,1.8,8.0,,(+/-) 2.8,,,4068092.15297231,10338.26321275952
680,HOWA,24027604003,4233,1036,139.0,13.4,6.0,,(+/-) 14.7,,,47519666.89366718,49736.321584485035
681,HOWA,24027606604,4424,1151,261.0,22.7,13.0,,(+/-) 15.1,,,2022977.52490941,6799.514114898592
682,HOWA,24027602700,6020,1542,31.0,2.0,9.0,,(+/-) 2,,,6830331.88047242,12646.089513421177
683,KENT,24029950400,2748,272,73.0,26.8,4.0,,(+/-) 24.7,,,177228397.58188677,166622.14486984233
684,KENT,24029950500,2555,333,67.0,20.1,3.0,,(+/-) 16.5,,,73491113.00032684,173397.54217755643
685,KENT,24029950200,4601,955,20.0,2.1,5.0,,(+/-) 3.5,,,284431359.9222884,163432.26631680244
686,KENT,24029950100,3368,640,37.0,5.8,3.0,,(+/-) 5.5,,,172953000.31157094,83534.38752796683
687,KENT,24029950300,6017,821,127.0,15.5,4.0,,(+/-) 10.8,,,23776620.00690265,29559.84765856055
688,MONT,24031701418,3562,929,83.0,8.9,7.0,,(+/-) 10,,,1204529.46583673,5071.75856420059
689,MONT,24031700316,3740,906,77.0,8.5,12.0,,(+/-) 9.6,,,4549532.010264625,10449.653272948033
690,MONT,24031704700,3665,873,0.0,0.0,8.0,,(+/-) 4.5,,,2029025.823886735,6130.647437906204
691,MONT,24031701211,6188,1440,3.0,0.2,15.0,,(+/-) 1.4,,,6570127.030465255,14959.58267661789
692,MONT,24031701101,4802,901,33.0,3.7,8.0,,(+/-) 4.5,,,2327413.23973896,8088.382831425074
693,MONT,24031700832,3166,868,41.0,4.7,9.0,,(+/-) 6.4,,,1375161.576986015,5940.270261097531
694,MONT,24031702200,4128,954,0.0,0.0,9.0,1.0,(+/-) 4.1,,,1653319.40649569,7129.8226548635375
695,MONT,24031700837,6795,1745,59.0,3.4,17.0,1.0,(+/-) 3.8,,,1570036.01739554,5407.153857625699
696,MONT,24031701210,3911,1173,0.0,0.0,11.0,,(+/-) 3.3,,,2593521.2068801,7644.452680293634
697,MONT,24031700718,5733,808,163.0,20.2,11.0,,(+/-) 21.9,,,2611746.742857445,7086.73502558755
698,MONT,24031703210,3851,517,0.0,0.0,14.0,,(+/-) 7.6,,,1556710.01214246,5513.056061434777
699,MONT,24031702700,7388,2284,242.0,10.6,7.0,,(+/-) 11.6,,,3502520.83725922,10397.725774972918
700,MONT,24031702302,4398,1182,113.0,9.6,10.0,,(+/-) 11.5,,,1549639.98545852,7365.666439707335
701,MONT,24031701509,5967,1862,233.0,12.5,8.0,,(+/-) 11.6,,,4084637.445742,9600.615291999782
702,MONT,24031700104,5017,1294,114.0,8.8,11.0,,(+/-) 9.2,,,2425885.98324898,10087.00285354196
703,MONT,24031705901,4390,1093,52.0,4.8,8.0,,(+/-) 6.7,,,5115156.20671272,9881.390286392676
